#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	16464	17195	+	PPDDFK_00125	hisJ	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	COG:COG0834, COG:ET, SO:0001217, UniRef:UniRef50_A0A0E1GUW8, UniRef:UniRef90_A0A0E1GUW8
contig_1	cds	17239	17427	-	PPDDFK_00130	orn	oligoribonuclease	EC:3.1.-.-, GO:0000175, GO:0003676, KEGG:K13288, SO:0001217, UniRef:UniRef50_A0A962TA18, UniRef:UniRef90_UPI000578A752
contig_1	cds	17373	17783	-	PPDDFK_00135		hypothetical protein	
contig_1	cds	17878	18939	+	PPDDFK_00140	rsgA	small ribosomal subunit biogenesis GTPase RsgA	COG:COG1162, COG:J, EC:3.6.1.-, GO:0003924, GO:0005525, GO:0005737, GO:0019843, GO:0042274, GO:0046872, SO:0001217, UniRef:UniRef50_Q8EJ79, UniRef:UniRef90_A6TH78
contig_1	cds	19099	19749	+	PPDDFK_00145	asd	archaetidylserine decarboxylase	EC:4.1.1.65, GO:0004609, GO:0008654, SO:0001217, UniRef:UniRef50_A0A377MAP2, UniRef:UniRef90_A0A377MAP2
contig_1	cds	19698	19865	+	PPDDFK_00150		(pseudo) phosphatidylserine decarboxylase	EC:4.1.1.65, KEGG:K01613, SO:0001217, UniRef:UniRef50_UPI0021B59FFE, UniRef:UniRef90_UPI00146D8CA5
contig_1	cds	19862	20059	+	PPDDFK_00155	asd	archaetidylserine decarboxylase	COG:COG0688, COG:I, EC:4.1.1.65, GO:0004609, GO:0005886, GO:0006646, GO:0008654, KEGG:K01613, SO:0001217, UniParc:UPI000E0731E4, UniRef:UniRef100_A0A378B6Z7, UniRef:UniRef50_Q8Z194, UniRef:UniRef90_A6TH77
contig_1	cds	20034	21440	+	PPDDFK_00160	kefA	Potassium efflux system KefA protein	SO:0001217, UniRef:UniRef50_A0A485ANE2, UniRef:UniRef90_A0A377WFQ7
contig_1	cds	21482	23407	+	PPDDFK_00165	mscM	miniconductance mechanosensitive channel MscM	GO:0016020, GO:0055085, SO:0001217, UniRef:UniRef50_A0A1A9Z1D4, UniRef:UniRef90_A0A378B6X1
contig_1	cds	23445	23756	-	PPDDFK_00170		Amino acid permease	SO:0001217, UniRef:UniRef50_A0A378AZE1, UniRef:UniRef90_A0A378AZE1
contig_1	cds	23940	24725	-	PPDDFK_00175		Amino acid permease	SO:0001217, UniRef:UniRef50_A0A3S4G6Q1
contig_1	cds	24725	24946	-	PPDDFK_00180		Amino acid permease	SO:0001217, UniRef:UniRef50_A0A2X3IDM2
contig_1	cds	25197	26111	-	PPDDFK_00185	epmA	elongation factor P--(R)-beta-lysine ligase	COG:COG2269, COG:J, EC:6.3.1.-, GO:0004812, GO:0004824, GO:0005524, GO:0005737, GO:0006418, GO:0006430, GO:0016880, SO:0001217, UniRef:UniRef50_P43826, UniRef:UniRef90_A6TH74
contig_1	cds	26438	26650	-	PPDDFK_00190		hypothetical protein	
contig_1	cds	26689	28176	+	PPDDFK_00195	frdA	fumarate reductase (quinol) flavoprotein subunit	COG:C, COG:COG1053, EC:1.3.5.1, GO:0009061, GO:0016491, GO:0022900, GO:0050660, KEGG:K00244, SO:0001217, UniRef:UniRef50_P00363, UniRef:UniRef90_UPI0023818DB1
contig_1	cds	28169	28903	+	PPDDFK_00200	frdB	fumarate reductase iron-sulfur protein	BlastRules:WP_000829498, COG:C, COG:COG0479, EC:1.3.5.1, GO:0005829, GO:0006099, GO:0006113, GO:0009055, GO:0009061, GO:0016020, GO:0016491, GO:0019645, GO:0044780, GO:0045284, GO:0046872, GO:0051536, GO:0051537, GO:0051538, GO:0051539, GO:0102040, RefSeq:WP_004177729.1, SO:0001217, UniParc:UPI00015763B7, UniRef:UniRef100_A0A9P1KWA0, UniRef:UniRef50_P0AC49, UniRef:UniRef90_P0AC49
contig_1	cds	28914	29309	+	PPDDFK_00205	frdC	fumarate reductase subunit FrdC	COG:C, COG:COG3029, EC:1.3.5.1, GO:0000104, GO:0016020, GO:0045284, RefSeq:WP_002885530.1, SO:0001217, UniParc:UPI0001813C37, UniRef:UniRef100_B5Y348, UniRef:UniRef50_Q7MZY2, UniRef:UniRef90_A6TH71
contig_1	cds	29320	29679	+	PPDDFK_00210	frdD	fumarate reductase subunit FrdD	COG:C, COG:COG3080, EC:1.3.5.1, GO:0000104, GO:0006106, GO:0045284, RefSeq:WP_002885526.1, SO:0001217, UniParc:UPI00015763B5, UniRef:UniRef100_B5Y349, UniRef:UniRef50_B5Y349, UniRef:UniRef90_B5Y349
contig_1	cds	29793	30326	+	PPDDFK_00215	blc	Bacterial lipocalin Blc	COG:COG3040, COG:M, RefSeq:WP_002885523.1, SO:0001217, UniParc:UPI00015763B4, UniRef:UniRef100_W9BQG4, UniRef:UniRef50_P0A902, UniRef:UniRef90_W9BQG4
contig_1	cds	30323	30640	-	PPDDFK_00220	sugE	quaternary ammonium compound efflux SMR transporter SugE	COG:COG2076, COG:V, GO:0016020, GO:0022857, RefSeq:WP_019725221.1, SO:0001217, UniParc:UPI0003117EFB, UniRef:UniRef100_A0A483ZN33, UniRef:UniRef50_Q7MZY0, UniRef:UniRef90_B6ZN41
contig_1	ncRNA-region	30654	30698	-			Guanidine-II riboswitch	RFAM:RF01068, SO:0000035
contig_1	cds	30784	30975	-	PPDDFK_00225	ecnB	lipoprotein toxin entericidin B	SO:0001217, UniParc:UPI00015763B2, UniRef:UniRef100_A0A080SRG4, UniRef:UniRef50_P0ADB9, UniRef:UniRef90_A0A080SRG4
contig_1	cds	31090	31221	-	PPDDFK_00230		putative small secreted protein	COG:COG5510, COG:S, RefSeq:WP_002885511.1, SO:0001217, UniParc:UPI00015763B1, UniRef:UniRef100_A0A264C2A0, UniRef:UniRef50_P56551, UniRef:UniRef90_A0A246AT68
contig_1	cds	31295	31654	-	PPDDFK_00235	efp	elongation factor P	COG:COG0231, COG:J, GO:0003746, GO:0005737, GO:0005829, GO:0006414, SO:0001217, UniParc:UPI000AFE6C4F, UniRef:UniRef100_A0A927DPZ6, UniRef:UniRef50_Q7VLM1, UniRef:UniRef90_A8AMQ1
contig_1	cds	31737	31862	-	PPDDFK_00240		Translation elongation factor P	SO:0001217, UniRef:UniRef50_A0A2X2C8K1, UniRef:UniRef90_A0A377WB03
contig_1	cds	31904	32932	+	PPDDFK_00245	epmB	EF-P beta-lysylation protein EpmB	COG:COG1509, COG:E, GO:0072581, SO:0001217, UniRef:UniRef50_P39280, UniRef:UniRef90_W9BDH6
contig_1	cds	33053	33727	-	PPDDFK_00250	cadC1	DNA-binding winged helix-turn-helix (wHTH) domain	COG:COG3710, COG:K, SO:0001217, UniRef:UniRef50_R4Y4Y4, UniRef:UniRef90_R4Y4Y4
contig_1	cds	34177	34740	+	PPDDFK_00255		Fimbrial-type adhesion domain-containing protein	RefSeq:WP_004872803.1, SO:0001217, UniParc:UPI0001A5813E, UniRef:UniRef100_A0A169BQK8, UniRef:UniRef50_A0A8B6IT46, UniRef:UniRef90_A0A8B6IT46
contig_1	cds	34799	35485	+	PPDDFK_00260	fimC	P pilus assembly protein, chaperone PapD	COG:COG3121, COG:W, RefSeq:WP_004872804.1, SO:0001217, UniParc:UPI0001B76FD9, UniRef:UniRef100_R4YAN1, UniRef:UniRef50_A0A081IR27, UniRef:UniRef90_A0A081IR27
contig_1	cds	35521	38064	+	PPDDFK_00265	fimD	Outer membrane usher protein FimD/PapC	COG:COG3188, COG:NW, SO:0001217, UniRef:UniRef50_A0A2V3K200, UniRef:UniRef90_A0A2V3K200
contig_1	cds	38671	39027	+	PPDDFK_00270		efflux RND transporter permease subunit	SO:0001217, UniRef:UniRef50_UPI00234259D2
contig_1	cds	39213	40088	-	PPDDFK_00275	blaCTX-M-15	extended-spectrum class A beta-lactamase CTX-M-15	EC:3.5.2.6, GO:0008800, GO:0030655, GO:0046677, NCBIProtein:WP_000239590.1, RefSeq:WP_000239590.1, SO:0001217, UniParc:UPI00000B17B8, UniRef:UniRef100_C7S9T0, UniRef:UniRef50_Q47066, UniRef:UniRef90_P28585
contig_1	cds	40241	40363	-	PPDDFK_00280		IS1380 family transposase	GO:0004803, RefSeq:WP_000800339.1, SO:0001217, UniParc:UPI000178856B, UniRef:UniRef100_U6C8E9, UniRef:UniRef50_U6C8E9, UniRef:UniRef90_U6C8E9
contig_1	cds	40344	41606	-	PPDDFK_00285	tnp	IS1380 family ISEc9 transposase	GO:0004803, IS:ISEc9, RefSeq:WP_000608644.1, SO:0001217, UniParc:UPI00000B4557, UniRef:UniRef100_Q6SJ63, UniRef:UniRef50_Q6SJ63, UniRef:UniRef90_Q6SJ63
contig_1	cds	41994	42590	+	PPDDFK_00290		(pseudo) Fimbrial protein	SO:0001217, UniRef:UniRef50_B5Y362, UniRef:UniRef90_A0A483NYN7
contig_1	cds	42584	42805	+	PPDDFK_00295		fimbrial protein	SO:0001217, UniRef:UniRef50_UPI001D0D02F8
contig_1	cds	43146	43496	+	PPDDFK_00300		Colicin V	RefSeq:WP_017880309.1, SO:0001217, UniParc:UPI000365E661, UniRef:UniRef100_A0A1Y5CQ59, UniRef:UniRef50_A0A1C3Q7B0, UniRef:UniRef90_A0A1Y5CQ59
contig_1	cds	43601	44275	+	PPDDFK_00305		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_A0A4P0XS37, UniRef:UniRef50_R4Y4U6, UniRef:UniRef90_A0A377TKR6
contig_1	cds	44877	45392	+	PPDDFK_00310		cysteine peptidase family C39 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A379CYW4, UniRef:UniRef90_UPI0021674110
contig_1	cds	45371	47878	+	PPDDFK_00315		hypothetical protein	PFAM:PF00005.31
contig_1	cds	47933	48286	-	PPDDFK_00320		DUF4156 domain-containing protein	RefSeq:WP_004152419.1, SO:0001217, UniParc:UPI0001813EE0, UniRef:UniRef100_A0A5E5XRA1, UniRef:UniRef50_P0AF71, UniRef:UniRef90_A0A564JC24
contig_1	cds	48545	50191	-	PPDDFK_00325	groL	chaperonin GroEL	COG:COG0459, COG:O, EC:5.6.1.7, GO:0005515, GO:0005524, GO:0005737, GO:0006457, GO:0016853, GO:0016887, GO:0042026, GO:0051082, GO:0140662, RefSeq:WP_002885441.1, SO:0001217, UniParc:UPI0001576F95, UniRef:UniRef100_A6TH53, UniRef:UniRef50_P29197, UniRef:UniRef90_O66198
contig_1	cds	50229	50522	-	PPDDFK_00330		Co-chaperonin GroES	SO:0001217, UniRef:UniRef50_P43734
contig_1	cds	50755	52005	+	PPDDFK_00335	yjeH	L-methionine/branched-chain amino acid transporter	COG:COG0531, COG:E, GO:0016020, GO:0022857, GO:0055085, RefSeq:WP_064162426.1, SO:0001217, UniParc:UPI0007CD3097, UniRef:UniRef100_A0A9Q6NI13, UniRef:UniRef50_P39277, UniRef:UniRef90_R4Y7Z9
contig_1	cds	52153	52425	-	PPDDFK_00340		hypothetical protein	
contig_1	cds	52418	52534	-	PPDDFK_00345	fxsA	(pseudo) FxsA protein	KEGG:K07113, SO:0001217, UniRef:UniRef50_A0A379TH86, UniRef:UniRef90_A0A377TLY7
contig_1	cds	52906	53679	+	PPDDFK_00350		Aspartate ammonia-lyase	SO:0001217, UniRef:UniRef50_A0A376NZ13, UniRef:UniRef90_A0A378ANJ9
contig_1	cds	53708	54310	+	PPDDFK_00355		Aspartate ammonia-lyase	SO:0001217, UniRef:UniRef50_A0A0J7Z0Q4, UniRef:UniRef90_A0A8S0G330
contig_1	cds	54426	55727	+	PPDDFK_00360	dcuA	Anaerobic C4-dicarboxylate transporter	COG:COG2704, COG:G, RefSeq:WP_002885423.1, SO:0001217, UniParc:UPI0001576F90, UniRef:UniRef100_A0A0W8A536, UniRef:UniRef50_P40684, UniRef:UniRef90_A0A1V2BJH7
contig_1	cds	55852	56175	+	PPDDFK_00365	cutA	divalent cation tolerance protein CutA	COG:COG1324, COG:P, RefSeq:WP_002885422.1, SO:0001217, UniParc:UPI00024103D9, UniRef:UniRef100_A0A0E1CLA9, UniRef:UniRef50_A8AMR3, UniRef:UniRef90_A0A1A9F7D5
contig_1	cds	56151	56450	+	PPDDFK_00370	dsbD	Thiol:disulfide interchange protein DsbD N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A919LUH6
contig_1	cds	56453	57946	+	PPDDFK_00375	dsbD	Thiol:disulfide interchange protein DsbD	COG:COG4232, COG:O, EC:1.8.4.16, KEGG:K04084, SO:0001217, UniRef:UniRef50_V3DSV1, UniRef:UniRef90_UPI0023F678DF
contig_1	cds	58056	58556	+	PPDDFK_00380	acrR	transcriptional regulator	COG:COG1309, COG:K, GO:0003677, SO:0001217, UniRef:UniRef50_P0ACU8, UniRef:UniRef90_A0A8B6IVB5
contig_1	cds	58624	60243	+	PPDDFK_00385		DUF1176 domain-containing protein	SO:0001217, UniRef:UniRef50_W1DK33, UniRef:UniRef90_A0A447RXD6
contig_1	cds	60240	60710	+	PPDDFK_00390		(pseudo) DUF1176 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S4KJH2, UniRef:UniRef90_A0A3S4KJH2
contig_1	tRNA	60826	60901	+	PPDDFK_00395	trnF	tRNA-Phe(gaa)	SO:0000267
contig_1	cds	61760	62236	+	PPDDFK_00400		PAAR domain-containing protein	RefSeq:WP_032418173.1, SO:0001217, UniParc:UPI0003EB9A13, UniRef:UniRef100_A0A9Q4R3V5, UniRef:UniRef50_A0A0C7KGR7, UniRef:UniRef90_W9BDJ4
contig_1	cds	62236	63195	+	PPDDFK_00405		PAAR domain-containing protein	SO:0001217, UniRef:UniRef50_UPI000ABCF02C, UniRef:UniRef90_UPI000ABCF02C
contig_1	cds	63176	63472	+	PPDDFK_00410		DUF3289 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2P8VM30, UniRef:UniRef90_UPI000E5C86BC
contig_1	cds	64150	64935	-	PPDDFK_00415	tnp	IS3 family transposase ORF B	COG:COG2801, COG:X, GO:0004803, SO:0001217, UniRef:UniRef50_W9B2B7, UniRef:UniRef90_A0A0E1CBJ3
contig_1	cds	64992	65513	-	PPDDFK_00420	tnp	IS3 family ISKpn1 transposase ORF A	COG:COG2963, COG:X, IS:ISKpn1, RefSeq:WP_004183316.1, SO:0001217, UniParc:UPI00000BCEE2, UniRef:UniRef100_A0A9P2SEA4, UniRef:UniRef50_A0A0E1CQT3, UniRef:UniRef90_A0A0E1CHN3
contig_1	cds	65748	65945	-	PPDDFK_00425	perC	PerC family transcriptional regulator	RefSeq:WP_237879143.1, SO:0001217, UniParc:UPI0007CC8984, UniRef:UniRef100_A0A0E1CQC6, UniRef:UniRef50_A0A251ZID9, UniRef:UniRef90_A0A8B6IT03
contig_1	cds	66257	66823	-	PPDDFK_00430	csgD	DNA-binding transcriptional regulator, CsgD family	COG:COG2771, COG:K, RefSeq:WP_002885396.1, SO:0001217, UniParc:UPI0001576F87, UniRef:UniRef100_W9BEC3, UniRef:UniRef50_A0A808IJ55, UniRef:UniRef90_W9BEC3
contig_1	cds	67415	68053	+	PPDDFK_00435	hmsH	Biofilm formation protein HmsH	SO:0001217, UniRef:UniRef50_A0A377WAV4, UniRef:UniRef90_A0A4P0XQX5
contig_1	cds	68028	69902	+	PPDDFK_00440	pgaA	poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA	GO:0005215, GO:0009279, GO:0015774, GO:0042710, SO:0001217, UniRef:UniRef50_R4Y4X1, UniRef:UniRef90_R4Y4X1
contig_1	cds	69911	70732	+	PPDDFK_00445		Carbohydrate transport protein	SO:0001217, UniRef:UniRef50_A0A658Y457
contig_1	cds	70750	71925	+	PPDDFK_00450	pgaB	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB	EC:3.5.1.-, GO:0019213, GO:0045226, KEGG:K11931, SO:0001217, UniRef:UniRef50_A0A377XJH9, UniRef:UniRef90_A0A377XJH9
contig_1	cds	71918	72976	+	PPDDFK_00455	pgaC	Biofilm PGA synthesis N-glycosyltransferase PgaC	SO:0001217, UniRef:UniRef50_A0A377XN78, UniRef:UniRef90_A0A377XN78
contig_1	cds	72963	73253	+	PPDDFK_00460	pgaC	(pseudo) Biofilm PGA synthesis N-glycosyltransferase PgaC	SO:0001217, UniRef:UniRef50_A0A7H4S958, UniRef:UniRef90_A0A4P0XJJ8
contig_1	cds	73246	73647	+	PPDDFK_00465	pgaD	poly-beta-1,6-N-acetyl-D-glucosamine biosynthesis protein PgaD	SO:0001217, UniRef:UniRef50_D4BB24, UniRef:UniRef90_W9BJP9
contig_1	cds	73739	73846	-	PPDDFK_00470		(pseudo) Putative DSBA oxidoreductase	SO:0001217, UniRef:UniRef50_A0A378AZS2, UniRef:UniRef90_A0A378AZS2
contig_1	cds	73843	74523	-	PPDDFK_00475		Thioredoxin domain-containing protein	SO:0001217, UniRef:UniRef50_A0A085G4J2
contig_1	cds	74674	75432	+	PPDDFK_00480		Membrane protein	SO:0001217, UniParc:UPI0002186575, UniRef:UniRef100_A0A0C7KI61, UniRef:UniRef50_A0A377ZQ30, UniRef:UniRef90_A0A0C7KI61
contig_1	cds	75578	76594	+	PPDDFK_00485	cbpA	curved DNA-binding protein	COG:COG0484, COG:O, GO:0006457, GO:0051082, SO:0001217, UniRef:UniRef50_Q1I490, UniRef:UniRef90_A0A285AWI1
contig_1	cds	76548	76904	+	PPDDFK_00490		hypothetical protein	PFAM:PF13591.10
contig_1	cds	77050	77421	-	PPDDFK_00495		Plasmid stabilization protein	RefSeq:WP_004186571.1, SO:0001217, UniParc:UPI00024107F7, UniRef:UniRef100_A0A164QCF8, UniRef:UniRef50_A0A8B6ISZ3, UniRef:UniRef90_A0A8B6ISZ3
contig_1	cds	77445	78386	-	PPDDFK_00500		Plasmid segregation protein ParM/StbA domain-containing protein	SO:0001217, UniRef:UniRef50_P11904, UniRef:UniRef90_W9BED0
contig_1	cds	78662	80065	-	PPDDFK_00505	melB	melibiose:sodium transporter MelB	COG:COG2211, COG:G, GO:0005886, GO:0006814, GO:0008643, GO:0015293, GO:0016020, GO:0022857, SO:0001217, UniRef:UniRef50_P02921, UniRef:UniRef90_O07366
contig_1	cds	80171	81523	-	PPDDFK_00510	celF	Alpha-galactosidase/6-phospho-beta-glucosidase, family 4 of glycosyl hydrolase	COG:COG1486, COG:G, EC:3.2.1.22, KEGG:K07406, RefSeq:WP_062921048.1, SO:0001217, UniParc:UPI00078E9481, UniRef:UniRef100_A0A9Q6J0G4, UniRef:UniRef50_P06720, UniRef:UniRef90_A0A163XRA4
contig_1	cds	81764	82210	+	PPDDFK_00515	melR	transcriptional regulator MelR	GO:0003677, GO:0003700, GO:0006355, SO:0001217, UniRef:UniRef50_A0A6D2GDM1, UniRef:UniRef90_UPI0010337ED1
contig_1	cds	82186	82701	+	PPDDFK_00520	melR	transcriptional regulator MelR	GO:0003677, GO:0003700, GO:0006355, KEGG:K23237, SO:0001217, UniRef:UniRef50_A0A8S0G684, UniRef:UniRef90_A0A447RXL4
contig_1	cds	82750	84252	-	PPDDFK_00525	proP	glycine betaine/L-proline transporter ProP	COG:COG2814, COG:G, GO:0016020, GO:0022857, GO:0055085, RefSeq:WP_002885227.1, SO:0001217, UniParc:UPI0001A580DE, UniRef:UniRef100_W9BJQ5, UniRef:UniRef50_Q47421, UniRef:UniRef90_W9BJQ5
contig_1	cds	84796	85131	+	PPDDFK_00530	phnA	putative Zn-ribbon-containing protein	COG:COG2824, COG:R, RefSeq:WP_102096170.1, SO:0001217, UniParc:UPI000C7EB770, UniRef:UniRef100_UPI000C7EB770, UniRef:UniRef50_A0A6S5XL82, UniRef:UniRef90_A0A6S5XL82
contig_1	cds	85359	85793	+	PPDDFK_00535	yjdN	VOC family metalloprotein YjdN	COG:C, COG:COG2764, SO:0001217, UniRef:UniRef50_P16681, UniRef:UniRef90_A0A7X1HT44
contig_1	cds	85949	86674	+	PPDDFK_00540	phnF	phosphonate metabolism transcriptional regulator PhnF	COG:COG2188, COG:K, RefSeq:WP_134892423.1, SO:0001217, UniParc:UPI000D476321, UniRef:UniRef100_UPI000D476321, UniRef:UniRef50_P16684, UniRef:UniRef90_W8V6L2
contig_1	cds	87123	87536	+	PPDDFK_00545	phnH	phosphonate C-P lyase system protein PhnH	EC:2.7.8.37, KEGG:K06165, SO:0001217, UniRef:UniRef50_A0A4U9D4B7, UniRef:UniRef90_UPI002279DBCB
contig_1	cds	87524	87706	+	PPDDFK_00550	phnH	phosphonate C-P lyase system protein PhnH	EC:2.7.8.37, KEGG:K06165, SO:0001217, UniRef:UniRef50_A0A484YDQ3, UniRef:UniRef90_UPI0021B2376A
contig_1	cds	87707	88771	+	PPDDFK_00555	phnI	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI	COG:COG3626, COG:P, EC:2.7.8.37, KEGG:K06164, RefSeq:WP_004894879.1, SO:0001217, UniParc:UPI0002BE3BF2, UniRef:UniRef100_A0A483IT08, UniRef:UniRef50_P16687, UniRef:UniRef90_A0A2U0LLG3
contig_1	cds	88764	89612	+	PPDDFK_00560	phnJ	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase PhnJ	COG:COG3627, COG:P, RefSeq:WP_002885202.1, SO:0001217, UniParc:UPI0001576EC2, UniRef:UniRef100_A0A087FTR4, UniRef:UniRef50_F2J2Z0, UniRef:UniRef90_G8LID7
contig_1	cds	89609	90367	+	PPDDFK_00565	phnK	phosphonate C-P lyase system protein PhnK	COG:COG4107, COG:P, GO:0018835, GO:0019634, RefSeq:WP_004178305.1, SO:0001217, UniParc:UPI0001576EC1, UniRef:UniRef100_W9BQH5, UniRef:UniRef50_A0A0D6IGX6, UniRef:UniRef90_A0A0T5IU13
contig_1	cds	90475	91155	+	PPDDFK_00570	phnL	phosphonate C-P lyase system protein PhnL	COG:COG4778, COG:P, GO:0018835, GO:0019634, RefSeq:WP_002885196.1, SO:0001217, UniParc:UPI000241DE4B, UniRef:UniRef100_W8V1P6, UniRef:UniRef50_A0A0C7KC28, UniRef:UniRef90_A0A0C7KC28
contig_1	cds	91152	92288	+	PPDDFK_00575	phnM	alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase	COG:COG3454, COG:P, EC:3.6.1.63, GO:0016810, GO:0019700, RefSeq:WP_004177788.1, SO:0001217, UniParc:UPI0001576EBF, UniRef:UniRef100_A0A9J6S2B3, UniRef:UniRef50_P16689, UniRef:UniRef90_W9BJQ9
contig_1	cds	92288	92851	+	PPDDFK_00580	phnN	ribose 1,5-bisphosphokinase	COG:COG3709, COG:G, EC:2.7.4.23, GO:0005524, GO:0006015, GO:0019634, GO:0033863, RefSeq:WP_004151727.1, SO:0001217, UniParc:UPI0001A580D7, UniRef:UniRef100_W9BED9, UniRef:UniRef50_P16690, UniRef:UniRef90_A6TH13
contig_1	cds	92867	93625	+	PPDDFK_00585	phnP	phosphonate metabolism protein PhnP	COG:COG1235, COG:P, EC:3.1.4.55, GO:0008081, GO:0019700, RefSeq:WP_004151728.1, SO:0001217, UniParc:UPI000241DE4A, UniRef:UniRef100_A0A2P0BF32, UniRef:UniRef50_P16692, UniRef:UniRef90_A0A2V3KN27
contig_1	cds	93646	94014	-	PPDDFK_00590	yjdP	DDRRRQL repeat protein YjdP	SO:0001217, UniParc:UPI0001B772FC, UniRef:UniRef100_A0A0W8APZ9, UniRef:UniRef50_S3J597, UniRef:UniRef90_A0A8H9ZUL8
contig_1	cds	94351	96354	-	PPDDFK_00595		Signal transduction histidine kinase regulating C4-dicarboxylate transport system	COG:COG4191, COG:T, SO:0001217, UniRef:UniRef50_A0A085GLR9, UniRef:UniRef90_B5XXS2
contig_1	cds	96534	97754	+	PPDDFK_00600	rbsA	Ribose ABC transporter ATP-binding protein RbsA	SO:0001217, UniRef:UniRef50_A0A378B784, UniRef:UniRef90_A0A378B784
contig_1	cds	97694	98053	+	PPDDFK_00605	rbsA	Ribose ABC transporter ATP-binding protein RbsA	SO:0001217, UniRef:UniRef50_A0A378B5B1, UniRef:UniRef90_A0A378B5B1
